@relation proteina_completatreinamento-weka.filters.unsupervised.attribute.Normalize-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N10-F1

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute J numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute O numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute U numeric
@attribute V numeric
@attribute X numeric
@attribute Z numeric
@attribute A1 numeric
@attribute B1 numeric
@attribute C1 numeric
@attribute D1 numeric
@attribute E1 numeric
@attribute F1 numeric
@attribute G1 numeric
@attribute H1 numeric
@attribute I1 numeric
@attribute J1 numeric
@attribute L1 numeric
@attribute M1 numeric
@attribute N1 numeric
@attribute O1 numeric
@attribute P1 numeric
@attribute Q1 numeric
@attribute R1 numeric
@attribute S1 numeric
@attribute T1 numeric
@attribute U1 numeric
@attribute V1 numeric
@attribute X1 numeric
@attribute Z1 numeric
@attribute A2 numeric
@attribute B2 numeric
@attribute C2 numeric
@attribute D2 numeric
@attribute E2 numeric
@attribute F2 numeric
@attribute G2 numeric
@attribute H2 numeric
@attribute I2 numeric
@attribute J2 numeric
@attribute L2 numeric
@attribute M2 numeric
@attribute N2 numeric
@attribute O2 numeric
@attribute P2 numeric
@attribute Q2 numeric
@attribute R2 numeric
@attribute S2 numeric
@attribute T2 numeric
@attribute U2 numeric
@attribute V2 numeric
@attribute X2 numeric
@attribute Z2 numeric
@attribute A3 numeric
@attribute B3 numeric
@attribute C3 numeric
@attribute D3 numeric
@attribute E3 numeric
@attribute F3 numeric
@attribute G3 numeric
@attribute H3 numeric
@attribute I3 numeric
@attribute J3 numeric
@attribute L3 numeric
@attribute M3 numeric
@attribute N3 numeric
@attribute O3 numeric
@attribute P3 numeric
@attribute Q3 numeric
@attribute R3 numeric
@attribute S3 numeric
@attribute T3 numeric
@attribute U3 numeric
@attribute V3 numeric
@attribute X3 numeric
@attribute Z3 numeric
@attribute A4 numeric
@attribute B4 numeric
@attribute C4 numeric
@attribute D4 numeric
@attribute E4 numeric
@attribute F4 numeric
@attribute G4 numeric
@attribute H4 numeric
@attribute I4 numeric
@attribute J4 numeric
@attribute L4 numeric
@attribute M4 numeric
@attribute N4 numeric
@attribute O4 numeric
@attribute P4 numeric
@attribute Q4 numeric
@attribute R4 numeric
@attribute S4 numeric
@attribute T4 numeric
@attribute U4 numeric
@attribute V4 numeric
@attribute X4 numeric
@attribute Z4 numeric
@attribute A5 numeric
@attribute B5 numeric
@attribute C5 numeric
@attribute D5 numeric
@attribute E5 numeric
@attribute F5 numeric
@attribute G5 numeric
@attribute H5 numeric
@attribute I5 numeric
@attribute J5 numeric
@attribute L5 numeric
@attribute class {1,2,3,4,5}

@data
0.423868,0.055319,0.074713,0.547872,0.490385,0.178322,0,0.136126,0.522843,0.430622,0.614458,0.265734,0.168831,0.467153,0.275676,0.461078,0.239437,0.487342,0,0.117117,0.070465,0.613158,0.333333,0.401361,0.445205,0.5,0.381503,0.098425,0.391931,0.431373,0.429688,0.538922,0.111801,0.691729,0.763393,0.808153,1,0.05,0.530488,0.702778,0.862534,0.751634,0.346715,0.472103,0.582386,0.352436,0.395706,0.570149,0.057292,0.51875,0.634868,0.828859,0.751634,0.111801,0.691729,0.670588,0.603636,1,0.098425,0.391931,0.528384,0.429688,0.538922,0.387309,0.544737,0.567639,0.359773,0.533784,0.425,0.114286,0.401392,0.545455,0.642276,1,0.34902,0.456954,0.494553,0.844059,0.849711,0.02268,0.31094,0.626308,0.610365,0.69011,0.765808,0,0.234192,0,0.781955,0,0.053015,0.199584,0.410973,0.660144,0.859,0,0,0,0,0,0.115385,0.564155,0.848837,0.939271,1,0.275665,0.744076,0.567639,0.349614,0.358491,0.507508,0.171429,0.787546,0.846535,0.772595,1,0.291803,0.393762,0.435866,0.51129,0.838298,0.02268,0.31094,0.626308,0.610365,0.69011,1
0.27572,0.029787,0.229885,0.462766,0.384615,0.115385,0.201521,0.314136,0.203046,0.76555,0.156627,0.090909,0.175325,0.532847,0.394595,0.359281,0.28169,0.253165,0.45,0.243243,0.178411,0.494737,0.347126,0.534014,0.517123,0.413978,0.479769,0.074803,0.550432,0.426025,0.708984,0.838323,0.015528,0.438596,0.560268,0.628297,1,0.172727,0.719512,0.797222,0.752022,0.954248,0.536496,0.341202,0.605114,0.426934,0.52454,0.492537,0.197917,0.7125,0.746711,0.667785,0.954248,0.015528,0.370927,0.492157,0.514545,1,0.047244,0.550432,0.537118,0.708984,0.838323,0.310722,0.536842,0.578249,0.362606,0.486486,0.497222,0.098413,0.313225,0.530303,0.713415,0.968825,0.023529,0.57947,0.518519,0.561881,1,0.02268,0.351248,0.585949,0.752399,0.927473,0.881733,0.02924,0.094848,0.2,0.353383,0.032258,0.04158,0.256757,0.44824,0.700309,0.92,0.481681,0.481681,0.480892,0.481172,0.46,0.057692,0.334012,0.883721,1,1,0.19962,0.829384,0.578249,0.388175,0.274633,0.705706,0.02381,0.271062,0.621287,0.650146,1,0.127869,0.528265,0.556663,0.63871,0.970213,0.02268,0.351248,0.585949,0.752399,0.927473,1
0.563786,0,0.224138,0.489362,0.442308,0.160839,0.125475,0.308901,0.467005,0.440191,0.084337,0.272727,0.214286,0.189781,0.037838,0.353293,0.244131,0.702532,0.333333,0.117117,0.182909,0.407895,0.452874,0.486395,0.431507,0.419355,0.445087,0.125984,0.610951,0.504456,0.822266,0.922156,0.015528,0.526316,0.555804,0.577938,1,0.081818,0.503049,0.658333,0.692722,0.830065,0.437956,0.512876,0.454545,0.43553,0.404908,0.579104,0.09375,0.53125,0.582237,0.61745,0.830065,0.015528,0.526316,0.513725,0.429091,1,0.125984,0.498559,0.617904,0.783203,0.922156,0.47046,0.497368,0.427056,0.331445,0.408784,0.394444,0.015873,0.517401,0.679654,0.764228,1,0.07451,0.430464,0.498911,0.559406,0.809249,0.156701,0.332054,0.562033,0.698656,0.942857,0.833724,0,0.166276,0,0.593985,0,0.034304,0.217256,0.541408,0.801236,0.993,0,0,0,0,0,0.057692,0.446029,0.295681,0.433198,1,0.338403,0.793839,0.427056,0.40874,0.266247,0.492492,0.02381,0.593407,0.759901,0.64723,1,0.062295,0.401559,0.519303,0.679032,0.859574,0.156701,0.332054,0.562033,0.698656,0.942857,1
0.251029,0.085106,0,0.43617,0.586538,0.06993,0,0.319372,0.619289,0.291866,0.240964,0.286713,0.266234,0.59854,0.659459,0.491018,0.093897,0.518987,0.333333,0,0.026987,0.815789,0.110345,0.465986,0.332192,0.564516,0.263006,0.318898,0.662824,0.490196,0.498047,0.88024,0.121118,0.072682,0.323661,0.498801,1,0.081818,0.573171,1,0.884097,0.732026,0.368613,0.291845,0.801136,0.309456,0.469325,0.471642,0.09375,0.5625,0.986842,0.855705,0.732026,0.121118,0.072682,0.284314,0.369091,1,0.318898,0.662824,0.600437,0.498047,0.88024,0.14442,0.539474,0.774536,0.169972,0.297297,0.613889,0.12381,0.162413,0.313853,0.369919,1,0.235294,0.350993,0.509804,0.579208,0.410405,0.247423,0.516315,0.630792,0.913628,0.956044,0.741218,0,0.258782,0,0.93985,0,0.106029,0.232848,0.401656,0.588054,0.939,0,0,0,0,0,0.182692,0.052953,0.873754,0.668016,1,0.108365,0.770142,0.774536,0.249357,0.228512,0.687688,0.185714,0.032967,0.512376,0.396501,1,0.062295,0.380117,0.476961,0.662903,0.565957,0.247423,0.516315,0.630792,0.913628,0.956044,1
0.185185,0,0.195402,0.425532,0.769231,0.118881,0.171103,0.120419,0.406091,0.162679,0.277108,0.636364,0.220779,0.248175,0.367568,0.682635,0.051643,0.64557,0.75,0.207207,0.085457,0.65,0.301149,0.397959,0.356164,0.483871,0.277457,0.086614,0.461095,0.586453,0.855469,0.862275,0.02795,0.573935,0.645089,0.676259,1,0.25,0.277439,0.472222,0.431267,0.555556,0.379562,0.324034,0.752841,0.191977,0.518405,0.423881,0.286458,0.54375,0.401316,0.291946,0.555556,0.02795,0.403509,0.233333,0.318182,1,0.086614,0.492795,0.792576,0.855469,0.934132,0.26477,0.452632,0.819629,0.053824,0.456081,0.652778,0.028571,0.37355,0.257576,0.825203,1,0.129412,0.324503,0.503268,0.5,0.803468,0.043299,0.426104,0.713004,0.725528,0.975824,0.399297,0.19883,0.441452,0,0.518797,0.317972,0.046778,0.118503,0.458592,0.643666,0.716,0.367457,0.392241,0.796178,0.962343,0.955,0.096154,0.395112,0.589701,0.730769,1,0.161597,0.665877,0.819629,0.097686,0.331237,0.792793,0.042857,0.3663,0.405941,0.810496,1,0.219672,0.430799,0.473225,0.595161,0.855319,0.043299,0.426104,0.713004,0.725528,0.975824,1
0.26749,0.093617,0.683908,0.287234,0.567308,0.206294,0.019011,0.198953,0.411168,0.38756,0.457831,0.412587,0.175325,0.357664,0.172973,0.293413,0.201878,0.341772,0.366667,0.387387,0.230885,0.673684,0.266667,0.421769,0.431507,0.623656,0.378613,0.059055,0.414986,0.358289,0.654297,0.97006,0.009317,0.636591,0.723214,0.904077,1,0.040909,0.503049,0.683333,0.592992,0.856209,0.478102,0.332618,0.661932,0.361032,0.705521,0.364179,0.046875,0.575,0.664474,0.583893,0.856209,0.009317,0.679198,0.62549,0.665455,1,0.059055,0.351585,0.438865,0.654297,0.97006,0.474836,0.376316,0.599469,0.359773,0.462838,0.583333,0.009524,0.515081,0.560606,0.747967,0.961631,0.039216,0.665563,0.72549,0.69802,1,0.051546,0.330134,0.536622,0.65643,0.989011,0.696721,0.046784,0.265808,0.314286,0.571429,0.050691,0.022869,0.219335,0.453416,0.701339,0.919,0.145474,0.145474,0.154989,0.429916,0.422,0.038462,0.678208,0.789037,0.781377,1,0.372624,0.597156,0.599469,0.329049,0.356394,0.651652,0.014286,0.630037,0.722772,0.731778,1,0.032787,0.42885,0.559153,0.662903,0.953191,0.051546,0.330134,0.536622,0.65643,0.989011,1
0.497942,0,0.327586,0.239362,0.432692,0.157343,0.121673,0.235602,0.324873,0.516746,0.457831,0.223776,0.123377,0.510949,0.275676,0.45509,0.239437,0.443038,0.216667,0.171171,0.188906,0.471053,0.429885,0.435374,0.565068,0.422043,0.410405,0.173228,0.40634,0.516934,0.732422,0.922156,0.012422,0.621554,0.542411,0.628297,1,0.104545,0.564024,0.675,0.743935,0.875817,0.408759,0.480687,0.519886,0.438395,0.404908,0.61791,0.119792,0.571875,0.601974,0.61745,0.875817,0.012422,0.493734,0.401961,0.456364,1,0.173228,0.40634,0.633188,0.732422,0.964072,0.507659,0.371053,0.546419,0.331445,0.631757,0.436111,0.012698,0.457077,0.538961,0.658537,1,0.094118,0.599338,0.71024,0.720297,0.890173,0.218557,0.383877,0.54559,0.700576,0.986813,0.820843,0,0.179157,0,0.774436,0,0.092516,0.278586,0.534161,0.761071,0.955,0,0,0,0,0,0.048077,0.028513,0.345515,0.773279,1,0.344106,0.677725,0.546419,0.341902,0.379455,0.654655,0.019048,0.52381,0.616337,0.553936,1,0.078689,0.415205,0.575342,0.709677,0.919149,0.218557,0.383877,0.54559,0.700576,0.986813,1
0.329218,0,0.229885,0.425532,0,0.13986,0.152091,0.418848,0.507614,0.287081,0.240964,0.559441,0.12987,0.145985,0.648649,0.239521,0.375587,0.126582,1,0.18018,0.028486,0.792105,0.331034,0.170068,0.667808,0.330645,0.369942,0.074803,0.357349,0.438503,0.708984,0.88024,0.118012,0.571429,0.575893,0.563549,0.54955,0.354545,0.557927,0.686111,0.733154,1,0.124088,0.369099,0.889205,0.297994,0.325153,0.641791,0.40625,0.546875,0.417763,0.130872,1,0.118012,0.170426,0.505882,0.345455,0.612403,0.074803,0.414986,0.537118,0.826172,0.88024,0.354486,0.202632,0.809019,0.331445,0.631757,0.372222,0.120635,0.157773,0.558442,0.591463,0.760192,0.466667,0.139073,0.577342,0.346535,1,0.037113,0.466411,0.585949,0.880998,0.956044,0.702576,0,0.297424,0,0.917293,0,0.12474,0.24948,0.47619,0.720906,0.86,0,0,0,0,0,0.182692,0.089613,0.750831,0.919028,1,0.212928,0.609005,0.809019,0.344473,0.350105,0.672673,0.180952,0.025641,0.638614,0.475219,0.459459,0.390164,0.37232,0.41594,0.445161,1,0.037113,0.466411,0.585949,0.880998,0.956044,1
0.115226,0.080851,0.109195,0.494681,0.355769,0.227273,0.106464,0.387435,0.375635,0.665072,0.108434,0.321678,0.181818,0.474453,0.302703,0.221557,0.43662,0.411392,0.15,0.171171,0.115442,0.560526,0.275862,0.55102,0.359589,0.413978,0.508671,0.287402,0.853026,0.759358,0.839844,0.886228,0.052795,0.290727,0.270089,0.242206,0.873874,0.031818,0.448171,0.552778,0.730458,1,0.525547,0.347639,0.605114,0.472779,0.383436,0.358209,0.036458,0.578125,0.611842,0.88255,1,0.052795,0.197995,0.145098,0.158182,0.891473,0.287402,0.798271,0.849345,0.822266,0.886228,0.269147,0.660526,0.466844,0.543909,0,0.619444,0.08254,0.24826,0.502165,0.339431,0.932854,0.070588,0.437086,0.51634,0.690594,0.890173,0.148454,0.589251,0.895366,0.834933,0.98022,0.791569,0,0.208431,0,0.56391,0,0.029106,0.192308,0.584886,0.752832,0.972,0,0,0,0,0,0.076923,0.433809,0.305648,0.633603,1,0.188213,0.943128,0.466844,0.627249,0,0.786787,0.080952,0.168498,0.391089,0.113703,0.848649,0.02623,0.430799,0.491905,0.732258,1,0.148454,0.589251,0.895366,0.834933,0.98022,1
0.374486,0.046809,0.218391,0.287234,0.211538,0.167832,0.144487,0.225131,0.218274,0.435407,0.192771,0.300699,0.487013,0.277372,0.351351,0.227545,0.58216,0.443038,0.083333,0.432432,0.232384,0.371053,0.657471,0.231293,0.558219,0.314516,0.390173,0.122047,0.426513,0.468806,0.792969,0.868263,0.009317,0.686717,0.727679,0.71223,1,0.259091,0.646341,0.436111,0.671159,0.928105,0.291971,0.618026,0.426136,0.467049,0.285276,0.573134,0.296875,0.653125,0.424342,0.590604,0.928105,0.009317,0.498747,0.588235,0.510909,1,0.122047,0.426513,0.574236,0.792969,0.868263,0.483589,0.471053,0.482759,0.507082,0.351351,0.4,0.009524,0.299304,0.497835,0.597561,0.98801,0.121569,0.44702,0.553377,0.594059,1,0.195876,0.575816,0.77429,0.917466,0.951648,0.264637,0.258772,0.528103,0.314286,0.323308,0.35023,0.183992,0.362786,0.829193,0.880536,0.984,0.070043,0.144397,0.388535,0.65272,0.925,0.038462,0.378819,0.551495,0.522267,1,0.45057,0.606635,0.482759,0.506427,0.274633,0.471471,0.014286,0.388278,0.688119,0.591837,1,0.101639,0.415205,0.414695,0.612903,0.953191,0.195876,0.575816,0.77429,0.917466,0.951648,4
